Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2000,1,2,7,1738,1652,2018,1935,AA,1520,N2BGAA,160,163,125,43,46,SAT,ORD,1041,3,32,0,NA,0,NA,NA,NA,NA,NA
1999,2,10,3,1807,1810,1854,1855,NW,826,N9343,47,45,32,-1,-3,LIT,MEM,129,5,10,0,NA,0,NA,NA,NA,NA,NA
2005,3,22,2,857,900,1117,1126,US,1230,N376US,140,146,116,-9,-3,BOS,CLT,728,6,18,0,,0,0,0,0,0,0
2002,6,25,2,1314,1310,1604,1559,DL,1950,N3752,110,109,94,5,4,SEA,SLC,689,6,10,0,NA,0,NA,NA,NA,NA,NA
2005,3,25,5,1027,1010,1132,1115,EV,4866,N925EV,125,125,105,17,17,ATL,BPT,619,4,16,0,,0,17,0,0,0,0
2007,10,11,4,1209,1210,1326,1345,WN,1290,N413WN,77,95,65,-19,-1,SAN,SFO,447,4,8,0,,0,0,0,0,0,0
1999,10,3,7,1206,1210,1242,1250,US,1094,N854US,36,40,21,-8,-4,AVL,CLT,92,7,8,0,NA,0,NA,NA,NA,NA,NA
2004,11,14,7,1815,1805,1933,1927,US,1216,N389US,78,82,56,6,10,CLT,PIT,366,7,15,0,,0,0,0,0,0,0
1992,6,15,1,658,658,1143,1205,AA,606,NA,165,187,NA,-22,0,LAX,DFW,1235,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2002,3,9,6,1908,1915,2118,2130,DL,2594,N378DL,130,135,109,-12,-7,TPA,CMH,829,7,14,0,NA,0,NA,NA,NA,NA,NA
2007,7,10,2,1821,1755,1925,1910,WN,1188,N550WN,244,255,231,15,26,CMH,LAS,1772,5,8,0,,0,0,0,0,0,15
2004,8,18,3,1122,1111,1332,1331,AA,781,N3BYAA,250,260,231,1,11,ORD,SFO,1846,4,15,0,,0,0,0,0,0,0
1992,10,10,6,NA,1230,NA,1517,US,2545,NA,NA,167,NA,NA,NA,MIA,PHL,1013,NA,NA,1,NA,0,NA,NA,NA,NA,NA
2005,6,29,3,NA,1500,NA,1740,OH,5178,N739CA,NA,160,NA,NA,NA,JAX,BOS,1011,0,0,1,B,0,0,0,0,0,0
2001,4,22,7,1005,1005,1154,1200,WN,1074,N648@@,109,115,102,-6,0,SDF,TPA,727,2,5,0,NA,0,NA,NA,NA,NA,NA
1999,1,24,7,2055,2055,2155,2200,WN,524,N357,60,65,49,-5,0,CLE,BWI,314,2,9,0,NA,0,NA,NA,NA,NA,NA
1988,9,5,1,1225,1220,1433,1433,NW,1463,NA,68,73,NA,0,5,MEM,GSP,441,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2007,3,27,2,610,615,657,705,MQ,4258,N907AE,47,50,29,-8,-5,DBQ,ORD,147,8,10,0,,0,0,0,0,0,0
2006,9,3,7,756,758,1012,1021,MQ,3803,N611AE,136,143,112,-9,-2,DFW,MKE,853,7,17,0,,0,0,0,0,0,0
1990,12,17,1,658,655,954,1004,AA,112,NA,116,129,NA,-10,3,ORD,BOS,867,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1996,7,10,3,1505,1505,1637,1631,DL,900,N632DL,92,86,55,6,0,CVG,DCA,411,6,31,0,NA,0,NA,NA,NA,NA,NA
2003,3,25,2,755,755,959,1000,WN,2813,N330,64,65,50,-1,0,MDW,CMH,284,2,12,0,NA,0,NA,NA,NA,NA,NA
1988,5,20,5,800,800,1353,1348,UA,502,NA,233,228,NA,5,0,LAX,ORD,1745,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2005,5,3,2,1102,1055,1244,1235,XE,3347,N36915,102,100,74,9,7,AMA,IAH,519,8,20,0,,0,0,0,0,0,0
2007,7,13,5,1840,1745,2007,1905,EV,4263,N879AS,147,140,125,62,55,DCA,JAN,860,6,16,0,,0,55,0,7,0,0
2004,4,30,5,1305,1220,1422,1344,EV,4556,N867AS,77,84,62,38,45,CRW,ATL,363,6,9,0,,0,14,24,0,0,0
2006,6,9,5,830,840,1010,1029,YV,7257,N858MJ,100,109,68,-19,-10,IAD,MHT,418,13,19,0,,0,0,0,0,0,0
1987,11,2,1,2143,2135,2226,2225,PI,545,NA,43,50,NA,1,8,MCO,MIA,193,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2000,9,28,4,1714,1715,1925,1935,TW,533,N9620D,131,140,104,-10,-1,STL,SAT,786,3,24,0,NA,0,NA,NA,NA,NA,NA
1989,5,7,7,739,740,848,842,AA,5,NA,69,62,NA,6,-1,IAH,DFW,224,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2006,2,26,7,1953,1745,2145,1940,OO,6765,N750SK,112,115,92,125,128,DEN,TUS,639,6,14,0,,0,125,0,0,0,0
1993,3,5,5,1650,1635,1814,1745,US,1624,NA,84,70,NA,29,15,DCA,PVD,357,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2001,7,23,1,1130,1130,1545,1550,WN,438,N693@@,135,140,120,-5,0,PHX,TUL,935,3,12,0,NA,0,NA,NA,NA,NA,NA
1992,1,25,6,1045,1045,1806,1823,HP,687,NA,261,278,NA,-17,0,LAS,EWR,2227,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2005,3,6,7,1701,1710,1900,1859,DL,735,N320DL,119,109,77,1,-9,RIC,ATL,481,33,9,0,,0,0,0,0,0,0
2006,7,10,1,1515,1455,1639,1615,F9,575,N925FR,84,80,63,24,20,DEN,SLC,391,5,16,0,,0,0,0,22,0,2
1992,4,18,6,1305,1305,1452,1450,DL,1194,NA,107,105,NA,2,0,DFW,HSV,603,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,8,7,3,1812,1800,1908,1905,US,683,NA,56,65,NA,3,12,PIT,CVG,256,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2004,4,22,4,2015,2005,2144,2135,US,224,N105UW,89,90,62,9,10,CLT,MDT,413,6,21,0,,0,0,0,0,0,0
2006,12,21,4,2202,1940,2342,2137,XE,2325,N11547,100,117,78,125,142,CLT,EWR,529,12,10,0,,0,0,0,125,0,0
1991,6,3,1,1322,1326,1601,1604,UA,546,NA,159,158,NA,-3,-4,SAT,ORD,1041,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1997,12,21,7,817,815,954,953,DL,283,N751AT,97,98,72,1,2,ATL,PBI,545,4,21,0,NA,0,NA,NA,NA,NA,NA
1995,12,22,5,755,755,1058,1040,TW,293,N64320,183,165,142,18,0,LGA,PBI,1035,4,37,0,NA,0,NA,NA,NA,NA,NA
1993,3,6,6,805,805,1025,1029,DL,236,NA,140,144,NA,-4,0,MCO,LGA,950,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1997,5,14,3,939,920,1206,1146,AS,117,N932AS,207,206,193,20,19,SEA,ANC,1449,3,11,0,NA,0,NA,NA,NA,NA,NA
1988,10,14,5,812,815,1009,1014,AA,447,NA,177,179,NA,-5,-3,MIA,DFW,1121,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,6,22,5,2044,1855,2220,2020,DL,867,NA,276,265,NA,120,109,ATL,ONT,1900,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2004,8,29,7,1650,1636,1915,1830,DL,404,N118DL,325,294,265,45,14,ATL,SFO,2139,8,52,0,,0,0,14,31,0,0
2002,12,30,1,2310,2200,1,2300,WN,1885,N350,51,60,40,61,70,STL,MDW,251,6,5,0,NA,0,NA,NA,NA,NA,NA
2005,3,25,5,1018,927,1130,1042,EV,4363,N826AS,72,75,46,48,51,ATL,LEX,303,2,24,0,,0,48,0,0,0,0
1992,8,11,2,1125,1125,1224,1230,WN,469,NA,59,65,NA,-6,0,STL,TUL,351,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2001,11,22,4,1046,1045,1137,1143,US,1973,N522A,51,58,34,-6,1,CLT,SAV,213,5,12,0,NA,0,NA,NA,NA,NA,NA
1992,8,12,3,1452,1457,1744,1743,AA,655,NA,172,166,NA,1,-5,STX,MIA,1139,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,7,9,7,1843,1845,2041,2049,NW,546,NA,58,64,NA,-8,-2,GRB,DTW,288,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2004,8,2,1,734,730,1030,1024,AA,199,N5CGAA,356,354,326,6,4,JFK,SEA,2421,10,20,0,,0,0,0,0,0,0
1995,4,13,4,1427,1427,1526,1537,AA,1748,N467AA,59,70,39,-11,0,DFW,SAT,247,3,17,0,NA,0,NA,NA,NA,NA,NA
1989,7,20,4,1840,1715,2025,1903,DL,321,NA,45,48,NA,82,85,MGM,ATL,147,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2004,8,26,4,1057,1055,1245,1250,MQ,4552,N628AE,108,115,91,-5,2,BOS,RDU,612,4,13,0,,0,0,0,0,0,0
1990,7,28,6,729,730,751,802,UA,699,NA,82,92,NA,-11,-1,OKC,DEN,495,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2001,1,8,1,1355,1355,1540,1535,WN,633,N386@@,105,100,90,5,0,RDU,MCO,534,5,10,0,NA,0,NA,NA,NA,NA,NA
2003,11,17,1,1006,951,1059,1053,MQ,3309,N254MQ,53,62,34,6,15,DFW,LAW,140,5,14,0,,0,0,0,0,0,0
2004,2,28,6,2304,2305,2359,12,DH,6179,N420FJ,55,67,41,-13,-1,CVG,LAN,258,2,12,0,,0,0,0,0,0,0
2004,7,3,6,1008,1010,1518,1514,AA,1126,N5TCAA,190,184,139,4,-2,LGB,DFW,1220,38,13,0,,0,0,0,0,0,0
2001,4,4,3,1846,1850,2113,2107,UA,545,N4461,267,257,220,6,-4,EWR,DEN,1605,10,37,0,NA,0,NA,NA,NA,NA,NA
1999,12,25,6,1202,1147,1352,1345,TW,683,N916TW,170,178,153,7,15,FLL,STL,1056,4,13,0,NA,0,NA,NA,NA,NA,NA
2003,1,24,5,1822,1825,2142,2148,UA,1102,N831UA,140,143,112,-6,-3,SFO,DEN,967,8,20,0,NA,0,NA,NA,NA,NA,NA
2005,1,8,6,555,600,640,652,CO,523,N33262,45,52,33,-12,-5,SAT,IAH,191,4,8,0,,0,0,0,0,0,0
2001,10,10,3,1813,1815,2015,2019,NW,1783,N959N@,122,124,77,-4,-2,PHL,DTW,453,10,35,0,NA,0,NA,NA,NA,NA,NA
2007,10,5,5,2204,1904,158,2241,NW,610,N358NW,174,157,123,197,180,MSP,EWR,1008,6,45,0,,0,4,0,17,0,176
1997,7,24,4,1127,1115,1702,1618,DL,256,N508DA,215,183,198,44,12,ELP,ATL,1282,7,10,0,NA,0,NA,NA,NA,NA,NA
2000,10,16,1,1739,1525,1946,1746,NW,468,N3324L,127,141,108,120,134,DTW,JAX,814,4,15,0,NA,0,NA,NA,NA,NA,NA
1999,4,23,5,1010,1010,1006,1000,DL,1523,N221DL,56,50,32,6,0,ATL,HSV,151,5,19,0,NA,0,NA,NA,NA,NA,NA
1995,3,17,5,1957,1958,2117,2121,UA,403,N987UA,80,83,64,-4,-1,DEN,BIL,455,3,13,0,NA,0,NA,NA,NA,NA,NA
1988,12,21,3,1712,1712,1907,1906,EA,92,NA,115,114,NA,1,0,MIA,ATL,595,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2007,10,31,3,1344,1350,1544,1555,XE,7803,N14188,120,125,104,-11,-6,LAX,EUG,748,3,13,0,,0,0,0,0,0,0
2007,7,20,5,953,905,1301,1215,XE,117,N14188,128,130,113,46,48,ONT,COS,789,8,7,0,,0,46,0,0,0,0
1995,9,27,3,750,750,931,946,TW,593,N9405T,101,116,82,-15,0,STL,MSY,604,3,16,0,NA,0,NA,NA,NA,NA,NA
1991,6,8,6,800,800,912,911,HP,523,NA,72,71,NA,1,0,LAS,RNO,345,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1995,11,21,2,1550,1540,1640,1640,WN,884,N604,50,60,38,0,10,GEG,SEA,224,3,9,0,NA,0,NA,NA,NA,NA,NA
2006,1,7,6,1426,1432,1907,1930,AA,2414,N419AA,161,178,139,-23,-6,ONT,DFW,1189,14,8,0,,0,0,0,0,0,0
1993,11,12,5,1751,1752,2219,2114,AA,1922,NA,208,142,NA,65,-1,DEN,ORD,888,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2007,2,2,5,1628,1607,1836,1814,NW,701,N317NB,128,127,112,22,21,PVD,DTW,614,6,10,0,,0,0,0,1,0,21
1992,9,17,4,1728,1730,1807,1800,NW,1579,NA,99,90,NA,7,-2,DTW,BNA,457,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,4,25,3,745,745,1020,1005,AS,205,NA,155,140,NA,15,0,LAX,PDX,834,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1992,3,20,5,939,938,1219,1214,UA,645,NA,220,216,NA,5,1,ORD,BOI,1437,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1995,5,13,6,1545,1545,1728,1725,NW,175,N8938E,103,100,84,3,0,GSP,DTW,508,8,11,0,NA,0,NA,NA,NA,NA,NA
1994,4,12,2,1410,1410,1444,1440,UA,534,NA,34,30,NA,4,0,PIA,MLI,69,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2006,4,16,7,1753,1711,1920,1830,MQ,4129,N658AE,147,139,132,50,42,SWF,ORD,714,3,12,0,,0,0,0,49,0,1
2000,9,30,6,1605,1605,1850,1850,WN,321,N398,105,105,85,0,0,MDW,BWI,611,10,10,0,NA,0,NA,NA,NA,NA,NA
2002,3,10,7,2033,1751,2314,2033,AS,211,N974AS,161,162,144,161,162,LAX,SEA,954,6,11,0,NA,0,NA,NA,NA,NA,NA
1995,8,15,2,900,900,1045,1026,TW,515,N984Z,105,86,60,19,0,STL,ICT,392,6,39,0,NA,0,NA,NA,NA,NA,NA
2004,1,30,5,857,900,1014,1035,XE,2028,N14945,77,95,63,-21,-3,CLE,GSP,450,2,12,0,,0,0,0,0,0,0
2006,8,3,4,1625,1630,1729,1728,NW,934,N622NW,64,58,36,1,-5,BNA,MEM,200,4,24,0,,0,0,0,0,0,0
2004,1,30,5,959,945,1306,1255,XE,3206,N16911,127,130,109,11,14,BHM,EWR,850,7,11,0,,0,0,0,0,0,0
1988,5,25,3,1325,1315,1619,1554,NW,506,NA,114,99,NA,25,10,MSP,CVG,596,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2007,8,29,3,1037,1040,1158,1204,DL,1209,N919DL,81,84,56,-6,-3,ATL,DAB,366,5,20,0,,0,0,0,0,0,0
2001,9,5,3,615,615,725,720,WN,1082,N635@@,70,65,58,5,0,PHX,ONT,325,2,10,0,NA,0,NA,NA,NA,NA,NA
2003,3,11,2,2109,2115,2221,2227,DH,7822,N328UE,72,72,53,-6,-6,IAD,EWR,213,5,14,0,NA,0,NA,NA,NA,NA,NA
1989,11,11,6,801,804,901,858,UA,417,NA,120,114,NA,3,-3,GSO,ORD,590,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2006,7,15,6,1934,1845,2044,2009,YV,7091,N456YV,70,84,54,35,49,DEN,DRO,251,4,12,0,,0,35,0,0,0,0
1995,6,7,3,813,815,948,942,HP,1957,N621AW,215,207,201,6,-2,MKE,PHX,1460,4,10,0,NA,0,NA,NA,NA,NA,NA
1989,10,13,5,1518,1500,1603,1600,WN,675,NA,45,60,NA,3,18,STL,MDW,251,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2003,6,15,7,2006,2015,2201,2210,MQ,4449,N731MQ,115,115,80,-9,-9,LGA,DTW,501,6,29,0,,0,0,0,0,0,0
2000,12,24,7,1342,1330,1422,1415,NW,63,N758NW,40,45,27,7,12,LAN,DTW,74,9,4,0,NA,0,NA,NA,NA,NA,NA
2006,3,13,1,823,815,1024,1018,US,264,N180UW,121,123,110,6,8,JAX,PHL,742,2,9,0,,0,0,0,0,0,0
1997,12,30,2,1457,0,1749,0,AA,1570,N2BNAA,112,105,84,4,-3,ORD,DCA,612,4,24,0,NA,0,NA,NA,NA,NA,NA
1994,8,17,3,821,820,906,910,DL,1872,NA,105,110,NA,-4,1,ATL,MKE,669,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1999,3,27,6,716,715,824,810,DL,332,N958DL,128,115,88,14,1,ATL,ORD,606,7,33,0,NA,0,NA,NA,NA,NA,NA
2002,1,31,4,1018,1020,1004,1009,DL,1715,N2901,46,49,29,-5,-2,ATL,BHM,134,7,10,0,NA,0,NA,NA,NA,NA,NA
2003,12,5,5,635,640,826,821,NW,1509,N343NW,171,161,148,5,-5,DCA,MSP,931,6,17,0,,0,0,0,0,0,0
1988,1,23,6,1657,1657,1801,1747,EA,257,NA,64,50,NA,14,0,TPA,MIA,204,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2007,11,16,5,559,600,824,900,EV,4229,N730EV,145,180,127,-36,-1,PVD,ATL,903,4,14,0,,0,0,0,0,0,0
2001,4,5,4,608,610,710,708,AS,570,N780Aâ,62,58,44,2,-2,GEG,SEA,224,9,9,0,NA,0,NA,NA,NA,NA,NA
2001,6,28,4,1925,1925,2339,2330,WN,838,N340@@,134,125,109,9,0,PHX,SAT,843,2,23,0,NA,0,NA,NA,NA,NA,NA
2007,4,4,3,1815,1745,1913,1855,MQ,3753,N637AE,58,70,44,18,30,DFW,LBB,282,2,12,0,,0,0,0,0,0,18
1991,5,15,3,955,955,1237,1227,UA,687,NA,282,272,NA,10,0,ORD,SMF,1781,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1992,5,13,3,1045,1045,1124,1140,WN,209,NA,39,55,NA,-16,0,DAL,AUS,189,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2006,6,27,2,615,615,818,810,WN,2197,N739,123,115,105,8,0,OAK,PHX,646,4,14,0,,0,0,0,0,0,0
1995,7,8,6,1041,1040,1116,1116,US,2772,N498US,35,36,24,0,1,CAK,PIT,70,6,5,0,NA,0,NA,NA,NA,NA,NA
2006,2,8,3,1915,1915,2115,2125,WN,2677,N315SW,60,70,48,-10,0,SAN,PHX,304,5,7,0,,0,0,0,0,0,0
1995,1,12,4,2040,2030,2152,2142,TW,128,N54334,72,72,52,10,10,STL,ORD,258,5,15,0,NA,0,NA,NA,NA,NA,NA
1989,8,2,3,1248,1245,1401,1400,PI,1035,NA,73,75,NA,1,3,CLT,DCA,331,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1999,4,12,1,838,840,957,1009,US,2327,N351US,79,89,56,-12,-2,DCA,CLT,331,12,11,0,NA,0,NA,NA,NA,NA,NA
1997,9,24,3,1200,1200,1308,1315,WN,796,N642,68,75,58,-7,0,LAS,SJC,386,2,8,0,NA,0,NA,NA,NA,NA,NA
1992,7,24,5,1323,1315,1427,1427,TW,87,NA,64,72,NA,0,8,IND,STL,229,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2002,7,8,1,1320,1320,1607,1622,AA,1262,N316AA,167,182,142,-15,0,MIA,JFK,1090,6,19,0,NA,0,NA,NA,NA,NA,NA
1999,8,4,3,1600,1600,1945,1941,DL,371,N652DL,225,221,193,4,0,ATL,STT,1599,5,27,0,NA,0,NA,NA,NA,NA,NA
1990,3,22,4,NA,1815,NA,1845,US,1432,NA,NA,30,NA,NA,NA,BLI,SEA,94,NA,NA,1,NA,0,NA,NA,NA,NA,NA
2006,3,10,5,947,955,931,955,OO,6829,N939SW,44,60,32,-24,-8,LAN,ORD,179,6,6,0,,0,0,0,0,0,0
1989,7,15,6,700,700,735,742,DL,72,NA,35,42,NA,-7,0,OGG,HNL,100,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2005,11,17,4,937,940,1112,1129,US,418,N425US,95,109,65,-17,-3,CLT,LGA,544,5,25,0,,0,0,0,0,0,0
1997,4,16,3,1049,1020,1250,1229,UA,2041,N397UA,121,129,106,21,29,SEA,SFO,679,4,11,0,NA,0,NA,NA,NA,NA,NA
2000,10,23,1,915,918,1149,1154,AA,1196,N2DDAA,154,156,126,-5,-3,MSP,DFW,852,13,15,0,NA,0,NA,NA,NA,NA,NA
1994,8,29,1,1330,1329,1400,1355,DL,342,NA,90,86,NA,5,1,ATL,FWA,508,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1998,4,4,6,835,835,947,1000,WN,859,N339,72,85,60,-13,0,LAS,SMF,397,2,10,0,NA,0,NA,NA,NA,NA,NA
1990,12,16,7,2122,2122,2218,2234,HP,602,NA,116,132,NA,-16,0,PHX,SFO,651,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2006,11,25,6,1544,1546,2020,2030,FL,308,N292AT,156,164,138,-10,-2,DEN,ATL,1199,9,9,0,,0,0,0,0,0,0
2002,9,27,5,1502,1455,1650,1643,US,217,N101UW,168,168,147,7,7,PHL,MCI,1038,4,17,0,NA,0,NA,NA,NA,NA,NA
1992,3,4,3,1836,1835,1930,1935,US,690,NA,54,60,NA,-5,1,AVP,PIT,243,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1994,9,28,3,1320,1320,1529,1524,US,1037,NA,69,64,NA,5,0,SBN,PIT,328,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1994,6,24,5,1705,1700,1833,1820,HP,507,NA,88,80,NA,13,5,SMF,SNA,404,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1993,12,16,4,1435,1407,1514,1438,TW,399,NA,39,31,NA,36,28,DEN,COS,72,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1998,1,20,2,1337,1338,1538,1544,UA,2102,N373UA,121,126,104,-6,-1,SFO,GEG,733,3,14,0,NA,0,NA,NA,NA,NA,NA
1999,5,24,1,1536,1300,1851,1532,US,1291,N426US,195,152,138,199,156,PHL,TPA,920,3,54,0,NA,0,NA,NA,NA,NA,NA
1993,6,18,5,1758,1758,1907,1909,CO,235,NA,69,71,NA,-2,0,BWI,CLE,314,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,27,2,1603,1550,1657,1657,US,223,NA,54,67,NA,0,13,PHL,PIT,267,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2006,2,18,6,1704,1705,1710,1706,OO,3716,N232SW,66,61,46,4,-1,SLC,EKO,200,3,17,0,,0,0,0,0,0,0
1992,8,10,1,1057,1035,1819,1755,DL,178,NA,262,260,NA,24,22,LAX,ATL,1946,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1993,5,30,7,820,815,926,929,US,854,NA,66,74,NA,-3,5,PIT,LGA,335,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2001,6,12,2,2137,2040,2246,2205,CO,1529,N71828,189,205,169,41,57,IAH,ONT,1334,6,14,0,NA,0,NA,NA,NA,NA,NA
2001,6,18,1,1844,1845,2155,2157,TW,536,N916ã,131,132,104,-2,-1,STL,ORF,784,3,24,0,NA,0,NA,NA,NA,NA,NA
2000,6,7,3,1505,1510,1739,1720,US,2026,N515AU,154,130,111,19,-5,CLT,BOS,728,18,25,0,NA,0,NA,NA,NA,NA,NA
1994,10,3,1,1949,1950,2142,2130,CO,738,NA,113,100,NA,12,-1,EWR,CLE,404,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2004,1,13,2,1557,1600,1741,1733,DL,339,N133DN,104,93,66,8,-3,TPA,ATL,406,26,12,0,,0,0,0,0,0,0
1993,11,23,2,1442,1435,1538,1540,WN,1281,NA,56,65,NA,-2,7,MSY,HOU,303,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1994,2,11,5,1000,1005,1530,1557,NW,246,NA,210,232,NA,-27,-5,PHX,DTW,1671,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2004,5,14,5,1030,1030,1119,1125,WN,127,N73SW,49,55,38,-6,0,DAL,TUL,237,3,8,0,,0,0,0,0,0,0
2007,3,2,5,NA,1125,NA,1330,OH,5531,N472CA,NA,125,NA,NA,NA,CLT,LGA,544,0,0,1,B,0,0,0,0,0,0
2001,8,23,4,1523,1530,1636,1649,US,1183,N119,73,79,60,-13,-7,ROC,PHL,257,3,10,0,NA,0,NA,NA,NA,NA,NA
2007,12,5,3,1918,1749,2013,1820,OO,5455,N295UX,55,31,13,113,89,ONT,LAX,47,5,37,0,,0,0,113,0,0,0
1990,4,23,1,718,715,955,959,CO,224,NA,157,164,NA,-4,3,PBI,EWR,1024,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1993,5,13,4,700,700,752,759,UA,1586,NA,52,59,NA,-7,0,IAD,LGA,229,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2004,9,27,1,NA,1630,NA,1812,DL,545,N315DL,NA,102,NA,NA,NA,RIC,ATL,481,0,0,1,B,0,0,0,0,0,0
2003,9,18,4,1346,1338,1609,1603,AS,488,N768AS,143,145,124,6,8,PDX,SNA,859,4,15,0,,0,0,0,0,0,0
1996,9,10,2,1759,1759,1914,1919,TW,91,N52311,135,140,106,-5,0,DCA,STL,719,10,19,0,NA,0,NA,NA,NA,NA,NA
1992,9,18,5,1829,1805,2009,1926,UA,1510,NA,100,81,NA,43,24,IAD,PVD,372,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2004,12,29,3,845,840,1039,1044,US,175,N390US,114,124,95,-5,5,DCA,JAX,634,5,14,0,,0,0,0,0,0,0
1989,4,10,1,1627,1630,1811,1814,NW,1643,NA,164,164,NA,-3,-3,DCA,MSP,931,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1995,7,28,5,1600,1605,2015,2010,DL,262,N942DL,135,125,111,5,-5,TUS,DFW,813,8,16,0,NA,0,NA,NA,NA,NA,NA
2000,4,2,7,1742,1745,2058,2105,AA,119,N624AA,376,380,334,-7,-3,EWR,LAX,2454,7,35,0,NA,0,NA,NA,NA,NA,NA
1998,7,14,2,1610,1611,1715,1705,US,585,N809US,65,54,47,10,-1,BUF,PIT,186,5,13,0,NA,0,NA,NA,NA,NA,NA
1993,8,1,7,1902,1905,2028,2023,US,665,NA,86,78,NA,5,-3,PHL,PWM,365,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2004,2,19,4,853,855,1008,1020,OH,5501,n466ca,75,85,53,-12,-2,CVG,RDU,390,3,19,0,,0,0,0,0,0,0
2007,4,27,5,1331,1320,2218,2200,UA,164,N416UA,347,340,325,18,11,LAX,BOS,2611,4,18,0,,0,10,0,7,0,1
1992,7,4,6,2035,2035,2159,2154,US,1221,NA,264,259,NA,5,0,PIT,PHX,1813,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2004,6,12,6,1050,1050,1436,1452,AA,217,N385AA,526,542,500,-16,0,ORD,OGG,4184,5,21,0,,0,0,0,0,0,0
2002,10,16,3,1939,1925,2030,2015,WN,2041,N130,51,50,37,15,14,BHM,BNA,177,8,6,0,NA,0,NA,NA,NA,NA,NA
2003,7,31,4,727,730,1550,1553,CO,1403,N33262,323,323,292,-3,-3,LAX,EWR,2454,11,20,0,,0,0,0,0,0,0
2006,1,4,3,1628,1615,1833,1827,US,53,N340US,125,132,111,6,13,PVD,CLT,683,7,7,0,,0,0,0,0,0,0
1991,12,26,4,2314,2316,1,8,AA,1621,NA,47,52,NA,-7,-2,DFW,SHV,190,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1999,8,5,4,645,645,716,735,WN,989,N379,151,170,138,-19,0,AUS,LAS,1090,5,8,0,NA,0,NA,NA,NA,NA,NA
2002,2,16,6,1442,1440,1927,1924,DL,1572,#NAME?,165,164,141,3,2,DEN,ATL,1199,6,18,0,NA,0,NA,NA,NA,NA,NA
1991,7,15,1,1419,1420,1736,1743,CO,282,NA,137,143,NA,-7,-1,MSY,CLE,917,NA,NA,0,NA,0,NA,NA,NA,NA,NA
